Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
Tuhfa Reading,893 556 039,"Sep 4, 2025 10:01:51 AM",143.5327,3,2,6,"Sep 11, 2025 06:37:46 AM",false,
Tuhfa Reading,893 556 039,"Aug 28, 2025 10:00:39 AM",176.2428,3,0,5,"Sep 11, 2025 06:37:46 AM",false,
Tuhfa Reading,893 556 039,"Aug 21, 2025 08:32:32 AM",111.8944,3,2,6,"Sep 11, 2025 06:37:47 AM",false,
Tuhfa Reading,893 556 039,"Aug 19, 2025 08:31:26 AM",14.8927,2,0,0,,false,
Tuhfa Reading,893 556 039,"Aug 14, 2025 10:01:58 AM",86.6631,3,0,6,"Sep 11, 2025 06:37:47 AM",false,
Tuhfa Reading,893 556 039,"Aug 7, 2025 10:00:49 AM",139.1370,3,0,0,,false,
Tuhfa Reading,893 556 039,"Jul 31, 2025 09:59:43 AM",142.7576,3,0,3,"Aug 8, 2025 07:05:20 PM",false,
Tuhfa Reading,893 556 039,"Jul 24, 2025 10:00:26 AM",180.5095,4,2,5,"Aug 21, 2025 02:34:25 PM",false,
Tuhfa Reading,893 556 039,"Jul 17, 2025 10:00:15 AM",155.1420,3,0,3,"Aug 21, 2025 02:33:55 PM",false,
Tuhfa Reading,893 556 039,"Jul 10, 2025 10:00:17 AM",119.7381,3,0,1,"Jul 17, 2025 07:48:19 AM",false,
Tuhfa Reading,893 556 039,"Jul 3, 2025 10:00:21 AM",124.0337,3,1,3,"Sep 10, 2025 06:44:27 AM",false,
Tuhfa Reading,893 556 039,"Jun 26, 2025 10:00:27 AM",194.6352,3,0,2,"Sep 10, 2025 06:45:25 AM",false,
Tuhfa Reading,893 556 039,"Jun 19, 2025 09:58:14 AM",172.1980,4,0,2,"Sep 10, 2025 06:45:18 AM",false,
Tuhfa Reading,893 556 039,"Jun 12, 2025 10:04:29 AM",166.2206,3,0,2,"Sep 10, 2025 06:45:12 AM",false,
Tuhfa Reading,893 556 039,"May 29, 2025 10:01:07 AM",115.0158,4,0,2,"Sep 10, 2025 06:45:04 AM",false,
Tuhfa Reading,893 556 039,"May 22, 2025 09:59:30 AM",139.3875,3,1,1,"Jul 18, 2025 02:20:24 PM",false,
Tuhfa Reading,893 556 039,"May 15, 2025 10:00:33 AM",159.4244,3,7,2,"Jul 18, 2025 02:20:21 PM",false,
Tuhfa Reading,893 556 039,"May 8, 2025 10:02:32 AM",160.4935,3,3,2,"Jul 18, 2025 02:20:17 PM",false,
Tuhfa Reading,893 556 039,"Apr 24, 2025 10:01:03 AM",134.4531,3,4,1,"Jul 18, 2025 02:20:13 PM",false,
Tuhfa Reading,893 556 039,"Apr 17, 2025 10:00:52 AM",135.7686,4,5,1,"Jul 18, 2025 02:20:08 PM",false,
Tuhfa Reading,893 556 039,"Apr 3, 2025 10:01:02 AM",190.6593,3,4,0,"Apr 17, 2025 11:21:04 AM",false,
Tuhfa Reading,893 556 039,"Feb 27, 2025 09:00:25 AM",170.7835,3,0,0,,false,
Tuhfa Reading,893 556 039,"Feb 20, 2025 08:57:26 AM",145.8857,3,0,0,,false,
Tuhfa Reading,893 556 039,"Jan 9, 2025 09:00:27 AM",126.7592,3,0,0,,false,
Tuhfa Reading,893 556 039,"Jan 2, 2025 08:59:34 AM",129.8914,3,0,0,,false,
Tuhfa Reading,893 556 039,"Dec 26, 2024 09:00:25 AM",100.2861,3,0,0,,false,
